filename,duration,rms,mfcc_mean_1,mfcc_mean_2,mfcc_mean_3,mfcc_mean_4,mfcc_mean_5,mfcc_mean_6,mfcc_mean_7,mfcc_mean_8,mfcc_mean_9,mfcc_mean_10,mfcc_mean_11,mfcc_mean_12,mfcc_mean_13,mfcc_std_1,mfcc_std_2,mfcc_std_3,mfcc_std_4,mfcc_std_5,mfcc_std_6,mfcc_std_7,mfcc_std_8,mfcc_std_9,mfcc_std_10,mfcc_std_11,mfcc_std_12,mfcc_std_13
bustling sounds of an airport_ata-audioldm1.wav,4.0,0.00225612,-437.68726,89.02535,14.702948,13.281856,-0.6254546,11.952267,-1.6484287,6.316926,1.5942011,3.6950705,3.6334627,3.340259,1.9817125,25.431171,23.03961,11.604348,11.759984,6.801895,6.044246,6.603264,5.731049,5.7771463,4.3518844,4.6234484,4.187483,4.8480453
bustling sounds of an airport_ata-audioldm2.wav,4.0,0.0022148855,-520.14606,119.5724,3.9404967,42.022026,-3.8115377,22.054806,5.099921,5.59616,7.068631,1.4670136,13.669616,-0.71988374,5.5558205,25.559656,14.468478,11.090327,10.64053,8.518425,7.0636516,7.6641097,6.5283155,6.416757,7.0059896,5.826131,6.358325,4.987978
bustling sounds of an airport_real.wav,4.0,0.0022316428,-523.1107,122.57912,4.9838347,42.361324,-2.6049435,21.586597,5.6631994,6.8796926,7.438215,2.005687,12.303603,-1.2639488,4.9893436,24.672493,13.473651,9.817229,9.706858,8.105721,5.902267,6.533996,5.878226,5.6222577,6.464578,5.4694943,5.32969,4.505428
bustling sounds of an airport_tta-audiogen.wav,4.0,0.0021009515,-558.5696,118.908226,-3.0921052,26.398474,4.153031,14.23436,3.5887744,18.326136,3.933449,5.752697,3.6783633,15.501694,-1.4993266,8.915208,8.561982,4.668176,3.2546284,2.6869962,4.983015,2.7737627,3.1253715,2.9163,2.6184855,2.9258208,3.4121099,2.6751058
bustling sounds of an airport_tta-audiolcm.wav,4.0,0.0021173407,-554.6129,191.67238,-48.440453,56.816196,-17.133825,11.94192,-4.2894645,5.319377,5.9007783,-0.5314833,14.132239,-6.331313,10.356099,38.104454,9.738035,21.223616,9.440405,6.0680194,9.484794,4.830191,5.176086,4.599427,3.9807432,3.358784,3.4617584,2.7643101
bustling sounds of an airport_tta-audioldm1.wav,4.0,0.0022639015,-591.6579,220.70709,-59.238987,36.3532,26.197145,0.40758124,15.775377,9.541652,8.943317,9.479593,6.0121236,3.63212,5.815449,14.09246,11.694679,7.255184,8.147686,6.8575215,4.619128,5.2799864,5.233476,4.708722,4.1787777,4.5369077,3.8447764,3.0871348
bustling sounds of an airport_tta-audioldm2.wav,4.0,0.0022464741,-500.2687,165.8722,-27.490526,15.871537,4.377017,7.1871448,3.539077,3.8530746,1.9156522,5.7600403,4.2506714,3.0483885,1.8263471,13.003294,7.8908796,8.906979,6.234962,4.274914,4.905536,4.3621655,5.6755733,4.6206756,4.0372896,4.226765,4.574238,4.691929
bustling sounds of an airport_tta-tangoflux.wav,4.0,0.0022468895,-434.50522,90.91913,2.846348,7.071598,-6.1201043,-10.66988,-9.025985,-2.4327672,-6.68562,1.0522465,-5.0566893,7.5981474,-4.840985,20.578129,14.371136,11.2149515,6.4163585,6.997289,6.27132,5.4365726,4.641874,4.8010545,4.4494042,4.349419,5.432278,3.9600463
"Fly whizzes, birds chirp and a person takes a few breathes_ata-audioldm1.wav",4.0,0.08420176,-83.1626,82.40174,4.3061223,17.510828,-8.952003,21.688694,-0.741882,6.56698,6.623702,4.6988363,0.9086812,6.2986317,1.5213149,81.91238,7.8242784,7.6164474,6.6681223,6.958307,7.3151827,5.5090947,5.467046,5.764201,4.418352,3.9019353,3.5961223,4.3548527
"Fly whizzes, birds chirp and a person takes a few breathes_ata-audioldm2.wav",4.0,0.083937705,-89.27163,75.38656,1.9618121,32.09549,-9.42555,19.631504,-5.308303,1.2679108,5.381376,6.3168316,5.9651613,3.5938065,7.1846056,30.984459,19.630606,14.947017,10.372654,15.671358,9.867183,9.820513,7.39499,8.305527,6.895396,6.236348,5.5624437,6.36654
"Fly whizzes, birds chirp and a person takes a few breathes_real.wav",4.0,0.083880015,-141.42465,78.924644,1.6162614,32.072075,-6.8329196,19.23671,-4.055652,2.7985358,5.2683487,6.3987684,5.3341737,3.0769794,5.8659444,29.700935,18.159672,14.158896,8.729555,14.099178,9.1091385,8.961877,6.2931633,6.8949966,5.8956523,5.0102906,5.3737016,5.0692735
"Fly whizzes, birds chirp and a person takes a few breathes_tta-audiogen.wav",4.0,0.07915144,-292.99203,63.251167,10.936527,30.903605,4.848646,22.71155,4.9906015,16.436287,7.6805506,13.117061,13.782723,8.867309,5.9853697,25.38458,17.024069,9.337881,13.014905,8.475636,7.843734,8.400207,7.6502314,6.7466908,5.070778,7.133448,4.471672,4.848677
"Fly whizzes, birds chirp and a person takes a few breathes_tta-audiolcm.wav",4.0,0.05742703,-275.5496,3.9545174,-30.75655,-8.967099,-14.716696,6.807607,-6.9174237,-6.67439,-18.056297,-3.4283342,-6.1004214,10.761476,0.342611,219.13449,11.377954,19.316032,8.461848,9.2729225,5.92557,6.6656966,6.2326217,9.279221,4.5672884,5.910433,5.990284,4.8948274
"Fly whizzes, birds chirp and a person takes a few breathes_tta-audioldm1.wav",4.0,0.064992696,-250.45126,119.946686,26.755241,13.958302,15.053037,17.86477,7.586293,5.9378033,6.463475,4.7630153,6.451487,5.9158015,6.2872586,65.333496,24.373978,16.768793,7.547715,6.630793,4.3854733,4.583841,3.8795707,4.0543885,5.6326213,4.0496016,3.3749368,3.9519584
"Fly whizzes, birds chirp and a person takes a few breathes_tta-audioldm2.wav",4.0,0.086271055,-46.135292,18.94558,-38.4545,-10.287119,1.5006261,3.1380966,-19.087416,-29.824697,-26.39841,-4.9990044,-0.30286467,-2.1869829,-7.4865294,8.218885,3.5378463,8.045092,4.0106626,5.3366337,5.45715,3.2033958,4.631923,3.7464402,3.5179987,3.919638,2.8921683,3.1861546
"Fly whizzes, birds chirp and a person takes a few breathes_tta-tangoflux.wav",4.0,0.087692484,-67.05256,69.81904,-4.10159,12.028405,-13.100025,28.860346,-21.275606,12.431173,-10.363149,3.9388967,4.03774,1.327405,7.392366,15.065982,8.416972,6.309013,6.1823554,7.3879185,6.7152734,6.5721273,7.344319,6.354796,7.2700086,5.377698,5.4283442,4.2865233
Gun shot_ata-audioldm1.wav,4.0,0.3728495,97.150475,57.938732,-51.974533,-9.377191,-33.825207,-13.875364,-22.390041,-9.991437,-14.694309,-8.95835,-11.799141,-5.277627,-8.20934,64.07808,24.910912,12.185302,3.3194637,7.142384,3.9260597,4.7145805,3.7412965,4.0137467,3.4772322,3.0086174,2.9424782,3.1684313
Gun shot_ata-audioldm2.wav,4.0,0.3646701,59.783005,33.19078,-80.340195,-27.279488,-56.64816,-23.291668,-23.674116,-3.057341,-11.5155115,-0.44123852,-3.0898983,7.4330482,-0.105519675,95.89429,19.54721,29.793062,9.174353,17.492908,7.304321,8.704118,5.4738836,6.013958,6.0461345,6.8577814,8.147587,5.362201
Gun shot_real.wav,4.0,0.37844566,53.59907,22.762342,-98.538994,-43.33784,-72.28137,-37.928814,-37.381477,-13.574036,-21.613293,-6.5950465,-9.793975,2.2387834,-4.228558,90.40343,20.526766,35.045147,14.08852,23.01435,11.509488,11.548034,7.1570964,6.74267,9.04098,9.61488,11.857229,9.01415
Gun shot_tta-audiogen.wav,4.0,0.11047674,-203.14221,96.463776,-7.120513,5.9409328,-4.713856,4.021505,2.3571115,4.206293,3.840038,7.6369452,3.6143813,6.6582522,2.4318242,141.76808,33.659485,33.565193,15.391466,10.013263,7.526411,8.10017,4.7327995,6.283576,4.9906745,5.0248675,3.2344692,4.8181057
Gun shot_tta-audiolcm.wav,4.0,0.06695637,-394.32654,52.824413,-11.4710245,0.9526042,-9.784283,-2.5106597,-8.625235,-6.322179,-1.8791479,-0.15933755,0.556475,-3.3867228,-3.7551463,215.07472,44.492302,35.985855,9.791697,13.483701,3.728783,6.302908,3.1171434,5.6948614,7.3295608,4.8014894,4.8599696,4.1117005
Gun shot_tta-audioldm1.wav,4.0,0.119650565,-281.65894,29.96197,-14.731538,14.8594,3.5810287,-2.2238703,-0.31599236,1.1921673,-6.4215293,-7.217424,-5.257855,0.6433136,0.04829478,238.00346,14.489477,18.14379,8.156608,12.110749,6.804158,8.785902,6.521026,5.5607505,4.505337,5.444934,4.9032693,6.52416
Gun shot_tta-audioldm2.wav,4.0,0.176724,-265.5551,-5.9514804,-24.573124,-2.487642,-6.447457,-0.88637555,-0.034249146,1.4746124,0.7870488,3.0025442,4.958393,5.987337,3.872258,310.1313,20.1657,22.551836,8.801738,12.989626,5.9604077,4.913433,4.1646852,3.945925,4.718483,3.74309,3.0644362,2.808319
Gun shot_tta-tangoflux.wav,4.0,0.19331518,-148.43971,82.32809,-26.705038,23.106594,-6.57442,9.002549,-0.03349513,11.797005,5.2638617,11.669299,3.864002,4.471988,1.2352704,225.96545,34.83071,17.998077,13.362898,9.31213,6.6346517,4.1212125,7.296296,3.5113697,7.6211905,3.8315,4.567818,4.178222
Moving motor vehicle_ata-audioldm1.wav,4.0,0.19696288,-10.859368,28.162592,-31.346954,-1.2205662,-18.05132,-11.83634,-10.424477,-6.6254907,-5.575755,-8.844396,-8.60985,-6.341738,-3.0516524,60.684563,23.277384,7.10247,4.570979,5.335479,3.714318,3.4675465,3.5777924,4.077327,4.471011,5.5037246,5.572903,6.576244
Moving motor vehicle_ata-audioldm2.wav,4.0,0.20864043,-9.641466,61.293056,-29.546911,1.5729507,-23.777897,-6.695355,-16.881128,-4.636263,0.031828087,14.45664,15.773743,16.181063,4.4881167,37.885895,13.018419,6.7914915,7.4878235,7.5157576,5.787926,5.7014346,4.9247837,6.3049207,7.6537967,7.7241693,8.54454,9.655719
Moving motor vehicle_real.wav,4.0,0.21001126,-5.802656,64.18863,-30.058788,1.8654773,-23.107807,-6.4027605,-15.698351,-2.8605523,-0.15946402,13.686042,14.541699,15.311165,4.407555,35.7992,11.687238,5.7896323,6.64327,6.9777074,4.958507,4.240126,4.223892,6.145072,7.5256715,7.4345713,8.444735,9.115137
Moving motor vehicle_tta-audiogen.wav,4.0,0.21038824,-80.45286,121.040764,-17.277956,37.17266,19.352821,17.735327,10.9324665,21.65771,8.191076,10.378206,-0.51996166,6.0918326,-1.1991613,12.376351,4.74703,5.011121,3.2025793,3.4293644,2.685418,2.896377,2.9315586,3.299423,2.5658622,3.8044481,3.0741332,2.768322
Moving motor vehicle_tta-audiolcm.wav,4.0,0.15059687,-97.64561,113.486374,-34.65108,27.653742,5.751814,8.241352,-2.98038,0.5445045,-4.916047,-4.481839,-14.464006,-6.357331,-14.958125,100.937256,10.216185,10.950242,6.525952,7.382993,5.0174146,7.1235094,3.1748395,3.8712015,4.679456,5.536749,5.4283714,3.408676
Moving motor vehicle_tta-audioldm1.wav,4.0,0.20961535,-87.141235,136.40646,-61.247555,66.31997,3.686528,28.147701,-2.2240899,25.529364,0.83555835,7.1863694,9.38532,-0.5403683,16.59829,11.60319,6.8041186,6.7863398,5.0800333,5.1373506,4.6012096,3.657626,3.2089555,3.2243958,2.8063393,2.8765764,3.0600724,3.0732026
Moving motor vehicle_tta-audioldm2.wav,4.0,0.21221602,-7.064361,63.31471,8.170652,27.31219,6.063111,4.1516757,9.462267,38.138737,-14.269677,-0.127525,-3.339197,-4.7437415,2.4762883,18.120853,16.802343,4.051159,4.134495,4.258856,4.3261175,2.7578707,3.567884,4.465568,3.2978292,2.5712013,4.0876575,4.3309603
Moving motor vehicle_tta-tangoflux.wav,4.0,0.21373314,23.17885,84.29959,-19.182335,17.02756,-3.2863164,7.2063875,-3.1610806,13.431853,-7.9077263,4.250707,-8.517982,-3.2602413,-14.709814,5.8917994,3.3382447,4.3620186,4.1838155,3.346784,4.0344753,3.6251664,2.8768504,3.133859,3.632397,2.9228516,3.4722111,3.518854
"residential area, birds singing, traffic hum and engine's rumble_ata-audioldm2.wav",4.0,0.012200528,-367.86865,111.377716,-9.444622,40.137142,11.935115,33.276695,-5.2814226,19.80501,-2.3474061,11.03924,7.214661,11.795226,-0.75883305,14.084621,6.951437,8.267614,5.029987,7.2608776,4.628355,4.7034016,5.060205,4.595421,4.722508,4.1558294,4.5632653,3.9696784
"residential area, birds singing, traffic hum and engine's rumble_ata_audioldm1.wav",4.0,0.012879703,-324.46024,115.94975,-3.7151349,27.725859,-0.25541618,28.352013,-0.94995147,17.49597,0.3977946,5.029343,5.2993402,8.661136,7.581008,19.91135,13.060654,7.369818,6.2676873,5.7597733,6.459112,3.9953659,5.7325435,4.4887652,4.300582,5.5477395,3.75176,3.3397877
"residential area, birds singing, traffic hum and engine's rumble_real.wav",4.0,0.012509267,-363.57346,115.10217,-10.239909,40.38175,11.440553,33.359364,-5.7554116,20.185614,-3.6305332,9.958933,5.3798156,10.174781,-2.431808,14.09848,6.1651635,7.8642664,4.868637,6.120531,3.7881997,4.0247135,4.237599,3.9476492,3.941946,3.6630988,3.8353946,3.463827
"residential area, birds singing, traffic hum and engine's rumble_tta-audiogen.wav",4.0,0.012829469,-400.53867,169.64343,-37.44897,55.366028,10.001936,14.824504,26.604519,-5.8271904,17.893457,2.3689535,-1.7619106,16.790838,-7.8804026,29.257036,42.073597,32.931595,15.376992,4.1058054,6.1433992,9.903054,12.478129,7.118198,5.2851,3.1663873,3.6238651,4.218741
"residential area, birds singing, traffic hum and engine's rumble_tta-audiolcm.wav",4.0,0.011903498,-341.7309,170.1533,-48.549957,2.7067528,7.4560094,26.262506,-7.8227916,23.288656,3.217841,11.908656,1.694257,5.9830008,2.6672292,36.30972,11.691388,15.908139,5.115419,3.8464994,3.671927,4.135804,3.5227492,3.8313842,3.373346,3.4689453,3.1978505,2.9448302
"residential area, birds singing, traffic hum and engine's rumble_tta-audioldm1.wav",4.0,0.012944518,-455.00217,197.85168,-46.43877,35.904453,27.2257,30.209518,14.662239,17.781235,14.070767,-1.7559267,18.744131,-1.3233722,10.839232,8.76692,10.116444,7.1515245,4.1086226,2.7930634,2.9754264,2.4023325,2.4416766,2.499802,2.8873115,2.8220725,3.1092649,2.48823
"residential area, birds singing, traffic hum and engine's rumble_tta-audioldm2.wav",4.0,0.01282688,-266.82886,75.86176,-3.949514,28.653994,-30.479513,53.352184,-1.6645477,22.235126,-10.054647,17.460981,-13.35478,5.3177013,-11.974018,49.37768,7.1292553,5.7042785,4.516298,7.2148323,6.1374044,7.4920416,3.5713193,5.0186453,3.4616642,3.4940774,3.1057804,3.3981833
"residential area, birds singing, traffic hum and engine's rumble_tta-tangoflux.wav",4.0,0.012541472,-304.16327,155.5117,-49.76983,-13.332931,40.662033,-21.882788,43.244003,0.78688,-2.2622857,12.555086,-11.529526,8.338608,-7.8070316,18.009804,10.212122,6.028615,5.9156766,8.796152,7.979156,5.502139,5.8070784,4.491799,4.207211,4.2914834,4.602567,4.2042623
unsteady table causes dishes to clatter and wobble_ata-audioldm1.wav,4.0,0.0030407186,-518.67114,100.40104,0.8054663,30.39661,0.42199445,13.7204485,9.688018,4.7998447,1.846207,3.692199,3.337325,-3.066593,3.3678005,132.26591,29.194254,24.57024,9.22074,11.396593,6.92091,6.853538,8.306824,5.9900026,4.9502025,6.606787,4.9549756,4.7540855
unsteady table causes dishes to clatter and wobble_ata-audioldm2.wav,4.0,0.0022873161,-544.3053,71.7589,12.406957,28.304768,0.8760387,19.361805,-5.207908,14.252595,-0.10828106,2.0458863,-3.5402296,3.4925683,-2.3541765,118.02168,25.412891,24.35797,11.133365,10.861399,9.322414,7.533257,5.939532,5.045304,5.5472374,5.7664895,4.850478,5.369741
unsteady table causes dishes to clatter and wobble_real.wav,4.0,0.0023023954,-537.9599,72.98971,12.903389,29.735458,1.9684526,20.56882,-4.170856,15.058146,1.0135574,3.0366564,-3.8595083,3.861274,-2.8131661,116.71541,24.25492,24.189857,11.229079,10.522804,8.384983,6.3556123,4.533459,4.0699825,4.8133674,5.6163635,4.3903713,5.042752
unsteady table causes dishes to clatter and wobble_tta-audiogen.wav,4.0,0.003658507,-518.97516,77.13873,-7.940832,20.06936,0.5019641,16.545206,-6.022311,8.315381,-3.7794862,3.2268605,-0.060439795,9.848997,3.0980062,184.78996,28.309338,36.472294,14.583606,14.918237,8.920271,10.120369,7.2857246,10.116384,6.5217786,6.898842,4.910157,7.1302505
unsteady table causes dishes to clatter and wobble_tta-audiolcm.wav,4.0,0.0028418652,-545.6635,104.16863,-21.209953,3.6174238,-6.327927,11.2835865,-3.324835,3.2227821,-4.058516,8.587252,11.348811,9.548853,2.856709,116.63682,35.461353,14.470731,24.71593,7.505774,10.981982,11.854047,11.5449505,6.171302,5.953925,9.023416,4.2746367,6.6661377
unsteady table causes dishes to clatter and wobble_tta-audioldm1.wav,4.0,0.0043551363,-387.39078,87.48195,-45.93941,14.427781,-9.6604595,-1.9213989,-18.336197,-10.499104,-2.4632201,2.867569,-1.4098556,0.44932482,-15.155257,89.40458,22.13024,9.370572,9.4326515,8.740073,7.3422523,5.9372735,5.7632856,5.7743683,6.4581413,6.022137,4.978516,5.9372706
unsteady table causes dishes to clatter and wobble_tta-audioldm2.wav,4.0,0.0024443597,-666.4654,43.64754,-3.0468853,15.483516,10.657308,6.0386157,2.2485063,9.458292,3.050192,7.140788,9.8536415,4.653864,0.7885939,214.15677,34.99414,30.72977,13.019597,10.4541025,10.725542,9.09072,7.675512,9.621253,5.0248947,6.7222314,5.693076,7.1998897
unsteady table causes dishes to clatter and wobble_tta-tangoflux.wav,4.0,0.0028138447,-518.84186,63.00761,1.4977268,1.9010972,-9.260914,3.6094792,-9.956324,5.47633,-8.873229,3.4402816,-9.434525,3.1470037,-7.308625,129.88657,38.013393,17.802128,11.001454,8.121067,6.554053,8.452304,5.214031,6.607417,6.3764224,6.8180017,5.5375934,4.4107046
